제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
<b>어린이보호구역</b>서 ‘갑툭튀’ 아이, 역주행 오토바이와 ‘퍽’...누구 잘못? ...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003624744,영상유튜브 채널 한문철 캡처 지난 일 유튜브 채널 한문철에 어린이 보호구역에서 오토바이가 우리 아이를 쳤습니다라는 제목의 영상이 게재됐다 공개된 사고 영상에는 당시 도로 양쪽 차선 모두 불법 주차 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010745251,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
동운지구대 <b>어린이 보호구역</b> 주정차 지도,https://www.jnilbo.com/view/media/view?code=2021100413402630645,광주북부경찰 동운지구대가 최근 민식이법 시행 이후 어린이 보호구역 불법 주정차 근절을 위해 동림초등학교 주변 어린이 보호구역에서 불법 주정차 금지를 위한 지도 홍보 단속 활동을 실시했다 광주북부경찰 제공
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004716100,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
역주행 오토바이에 <b>어린이</b> 부상 의견 분분 &quot;운전자 구속 가능성도&quot;,http://www.sisamagazine.co.kr/news/articleView.html?idxno=405302,역주행 오토바이에 어린이 부상 의견 분분 운전자 구속 가능성도사진유튜브 캡처 어린이 보호구역에서 역주행하던 오토바이가 갑자기 뛰어든 어린아이를 친 사고 영상이 공개된 가운데 네티즌들의 반응이 분분하다 
[남해] 창선초교 앞 <b>어린이보호구역</b>에 '노란 발자국' 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002327731, 남해군청 경남 남해 창선초등학교 앞 도로인 어린이보호구역스쿨존에 노란발자국이 설치됐다 남해군자원봉사센터는 창선면지역사회보장협의체 봉사자와 창선초등학교 학생교사와 함께 노란발자국 설치 활동을 
CJ대한통운, 군포 <b>어린이 보호구역</b> 횡단보도 30곳에 '노란 발자국' 설치,https://www.etoday.co.kr/news/view/2064881,이투데이김벼리 기자 | 교통사고 예방 도와 대한통운 관계자들이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 사진제공대한통운 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002971818,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
CJ대한통운, 군포 30곳에 <b>어린이 보호</b> '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010740637,대한통운은 굿네이버스와 함께 군포 지역 어린이집초등학교 등 어린이 보호구역 횡단보도 곳에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 군포경찰서와의 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005629159,금호타이어가 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
